"filename", "language", "XML", "YAML", "Dart", "Markdown", "C++", "Properties", "Groovy", "Swift", "JSON", "comment", "blank", "total"
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Playlist\Playlist.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Forums\Forums.dart", "Dart", 0, 0, 247, 0, 0, 0, 0, 0, 0, 1, 11, 259
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\StudentsEnrolled.dart", "Dart", 0, 0, 229, 0, 0, 0, 0, 0, 0, 2, 9, 240
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Create Class\createClassForm.dart", "Dart", 0, 0, 178, 0, 0, 0, 0, 0, 0, 8, 13, 199
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Create Class\createClassTitle.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 2, 46
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Create Class\create_class_form.dart", "Dart", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 7, 102
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Dashboard\UniversalSearchPanel.dart", "Dart", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 3, 108
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Dashboard\channelList_Component.dart", "Dart", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 7, 245
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Dashboard\dashboard.dart", "Dart", 0, 0, 434, 0, 0, 0, 0, 0, 0, 8, 13, 455
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Dashboard\searchPanel.dart", "Dart", 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 12, 166
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Dashboard\subscription_Component.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 0, 7, 4, 68
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Drawer Component\drawer.dart", "Dart", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 4, 91
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Join Class\joinClassForm.dart", "Dart", 0, 0, 170, 0, 0, 0, 0, 0, 0, 5, 14, 189
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Join Class\joinClassTitle.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 2, 46
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Login_Screen\TextField_Component.dart", "Dart", 0, 0, 310, 0, 0, 0, 0, 0, 0, 1, 12, 323
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Login_Screen\TitleComponent.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 2, 46
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Login_Screen\login.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 4, 10, 77
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Profile\Tabs.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Profile\profile.dart", "Dart", 0, 0, 381, 0, 0, 0, 0, 0, 0, 4, 9, 394
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Register_Screen\TextField_Component.dart", "Dart", 0, 0, 397, 0, 0, 0, 0, 0, 0, 0, 10, 407
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Register_Screen\register.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Report Bug\mailto.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\apis\api.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 29, 69
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\main.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 6, 6, 84
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\modal\ClassroomDetails.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\modal\Classrooms.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\modal\JoinCode.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\modal\User.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\modal\lectures.dart", "Dart", 0, 0, 80, 0, 0, 0, 0, 0, 0, 2, 12, 94
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\FlashMessages.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\TnC.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\fetch_preview.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 6, 10, 70
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\refreshToken.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\regEx.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\vernamCreds.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\pubspec.yaml", "YAML", 0, 46, 0, 0, 0, 0, 0, 0, 0, 36, 14, 96
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 314, 52, 6922, 16, 1, 9, 85, 12, 145, 230, 479, 8265
